nombre,ubicacion,precio,puntuacion_sobre_5,reseñas,url
Access Denied,No disponible,No disponible,No disponible,[],https://www.expedia.mx/Oaxaca-Hoteles-Casa-Antonieta.h33143808.Informacion-Hotel?chkin=2025-10-20&chkout=2025-10-25&x_pwa=1&rfrr=HSR&pwa_ts=1757020698047&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5teC9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2631&destination=Oaxaca%2C+Oaxaca%2C+M%C3%A9xico&destType=MARKET&neighborhoodId=6286955&latLong=17.061171%2C-96.725467&trackingData=AAAAAQAAAAEAAAAQObMN5QNTo2MqaciDAJVDEtJWWemNXbyn_4AXXLuCfLYEqiSYUvWcYUN4CQPyM_2lPVp-kTthqNPMZzwzWSS6kVL23p-yS4gKfOEJisZihLnCukp6l5e1wnovw4hL0M1kyXEH-Md9BNZdG03x9jVk2jIDvTy48JgUWH88MzvgJXDtGJrhozcV5SxmKR3wzRnmThVwuoVKMu5ry7A_Z4R1fOs3SKt8btQmxCyCXpJ8TZ2zvmAJAoSV-ZDoHWd_2RKzEMDh_HO9XpivCUhDQj6zNGXok40cmRiCeCgA7ZuFI7XBSMniMjyYQzHQFimh2RhlPiatby7gXEy_qwfZkarN56XGVJeEvmfksZwCxvLUBUD3un-DMkqVBlkM8CVtmCXmG4MZcgwJQUCCkUaJBP3Jli8ncSA2fYCRXPIenFDRANYV1-14VAONEyAjcdAJEmepNlMgcprLU9kp1OEIg5wpeA-Hauv7rymNFJJVHhpE5GAXWV2395UalOsWybfETPN_TDYpaZqZ6vPplv18Peiez0yrPlf1rlrphbIVz0yBnkPs6V4D27Dk9WjnDs3e-YPDx2wKpzP77RuepZhBUbNgIVBt7wWSmd6RrMCVywW1tWbKCRxyMKz3wZEZLt4-skuGRnAmIqYNB9ExiSgB3r1D-aIeUqSK8WZoP3Za__X_lGfab1ClgYsefO-BAVD35VRltlwp2x-eNnxvx5H5uRK_AfGX69K0LpLwAu3HuDYUFAHJX0tsxsNY_4WkR4ASyMy_HndxqD_B3j3TeYJQ7erLpNHiLcEx0pMbcr0nUDH3ohOoucF4GRH66u38IW9vnUEdPgtEmPRMLqItBZpZ7Eh8Lj0oVcw8f8HvbSCZk9pATl5vvOAlbcw_czd2lSm8LfOh6UK6tNbDs8l21u2-7NRTDXTLbdBh-U-C8oynaZXIVxu_nLjo_gyUw0jt8gla37nRm3yvtPsiXPzT_1XVEujaw4-kBpI8J4AIojLQsnw-31id1r0DzzyAGS4OSgk91n0v-8vck6cJB79zvbmk1jBDCWH5aYgg04HosUv12nlSahR7KEQLmKUqt8uAlBtJNI7zZG4qzczDKLT8XZcoxfef7zopolHvU-jo7N5c04STeuoQabqujKdIUyoc6WndfnNw53wpsjZT5v-aTWjYVaGnZ6nSmudsPf6IfSEfzO1Vls_qAw9pfFNxgECbG-B7OYhUnS4JJKst0YaUeyyPMHLdAZ9sek6FGrwBrCSGM4QYc6ObyTe0wcAE-6lOqTD3PULR8inzVv170co1bg9LLidZgApfQ7NrZE-rPaXgd0vbTw9KCwMlV4PcVd3_AQ4ApcKV5K_xiwfXx-05ZGjANcPuIw%3D%3D&rank=1&testVersionOverride=Buttercup%2C39483.0.0%2C50028.0.0%2C50813.0.0%2C51642.169494.0%2C51690.201908.0%2C52131.187852.1%2C54709.194717.1%2C59134.0.0%2C50988.158353.0%2C60140.211636.0%2C54072.0.0%2C57292.0.0&slots=&position=1&beaconIssued=&sort=RECOMMENDED&top_dp=8618&top_cur=MXN&userIntent=&selectedRoomType=315551017&selectedRatePlan=383900782&searchId=b50be390-a2a0-409e-bf3f-f302cc64aa6a
Access Denied,No disponible,No disponible,No disponible,[],https://www.expedia.mx/Oaxaca-Hoteles-City-Express-Oaxaca.h6924402.Informacion-Hotel?chkin=2025-10-20&chkout=2025-10-25&x_pwa=1&rfrr=HSR&pwa_ts=1757020698049&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5teC9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2631&destination=Oaxaca%2C+Oaxaca%2C+M%C3%A9xico&destType=MARKET&neighborhoodId=553248635976399573&latLong=17.061171%2C-96.725467&trackingData=AAAAAQAAAAEAAAAQ6cxis9N0jLYxVeK-ePU-3PLLZCl0V_WFhqH9QcFEo-PlOVjBiyzuc1IaT8WO69-8AnPlfHvArQC_idQzZm4eyo1kXHGkDeDXwrJMfe92KwAMUTxukWutPY4QRzSLFYmJfxrPBjcKAusiOqxXOp7JJLFctKSw-0iWRrIuJqB9its2Fzsq96foHGSIT0QlJJNvixEGWQfaOQe5FBtHkrfxnd60uakjb1PBy8t-GFpIbCdZbuGJ6DgABvlL3djorfkCg6znXsp6-_Cxxe0YIePlKbrYiDxdgyJTULZ37mQWGyyxFBu540qPj-Ymv2Qh6UbliW-UkanPvmNnxQUENlP5C2o_XGz3qrLzpEe0MVU1tadj1zvKn68Fll9ijCWt_yVwq6SMv7-BXl15u3YKdCWTcLb8zURKj8MCzCxkFc9gg1d1Wno1q4nlaqb-WdUfh-jszB5uRMKDsfdYqNCxaL9Ia7Im54yiMhKp4ogsuNR1VW1r4N8YPHC9DWaQtpqsS4M_WBKZtHmTKR0wVtuDKUI7HIsk-_f1nq_4jwitOaMezamWSA42zNEsNc4BvooL5hynEnJyFPC0tkf_b8XhSXByUDy3lfHQNBfTSJgSspR1milxccTXDDdLhkN40ENfT1i96pcBwpid_N3MOwZHfT5e46mXXV0hcBz0_6VtHKOBZ0HieMkLIFJQpex8zVDFFzLU4q9tZjD0Mu_rTzFJdQMwIWjpkJQlcwbNGgJEModcna8LUYRCxBEJOwGDZAJgoALCXEqkadMH1knwEJN78eyCHa5wA2zlrn3wjRzMedSj7mMSA5WI3b7lAME9cO4s2ueKD1IL9p3I2iygcmz5YvNRVrsfXy0zmvy9vPdoPE9nP_B1sJEn0c4eFgda3aIYLnAUdEDrEPp4jViyn8X53tg9wDjmMmHvWHwM9nNSW-I_Utfvvbkaylls7D5WOB5Tfsf0rlBZKz126MpKYz7EyIDdINv4uErlmENgEqm8x2JzQTDXBQY__ZZSxdmW0AIdN9SicVd7rDkdOq0A7FnNB4knqwvxSJhpbrY426MKz0htZBS-YrCI6Of5gE_28tfrDCUq271IJaah4_5X46l5_4I-86Zv7WY70vDHS7ZX2gwQFQjEONj4MBXm1FfMOYEuOSX8uvQTW6WyubwpcK2H3ZVqz2zemSxQeqJBY30BspPxTqlUoJ4IVdZkMbIz9itoEnRHsgT1Yn3Al9cClk-ggDA5FNPqbtYzMu2zb3p87JfjHtkajRRK8lsz8yZdxTfFQRCeJ9n_P3KFtmLSlyx624-l3jON6vjEjxMsTJ9G6bJlchX51J3h7SmBYL5GhvjqiaKuxLWljqn6WWtrZ1vCt1XcGg%3D%3D&rank=2&testVersionOverride=Buttercup%2C39483.0.0%2C50028.0.0%2C50813.0.0%2C51642.169494.0%2C51690.201908.0%2C52131.187852.1%2C54709.194717.1%2C59134.0.0%2C50988.158353.0%2C60140.211636.0%2C54072.0.0%2C57292.0.0&slots=&position=2&beaconIssued=&sort=RECOMMENDED&top_dp=2443&top_cur=MXN&userIntent=&selectedRoomType=322753232&selectedRatePlan=398034815&searchId=b50be390-a2a0-409e-bf3f-f302cc64aa6a
Access Denied,No disponible,No disponible,No disponible,[],https://www.expedia.mx/Oaxaca-Hoteles-Hotel-Hacienda.h966274.Informacion-Hotel?chkin=2025-10-20&chkout=2025-10-25&x_pwa=1&rfrr=HSR&pwa_ts=1757020698051&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5teC9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2631&destination=Oaxaca%2C+Oaxaca%2C+M%C3%A9xico&destType=MARKET&latLong=17.061171%2C-96.725467&sort=RECOMMENDED&top_dp=930&top_cur=MXN&userIntent=&selectedRoomType=200709230&selectedRatePlan=207564353&searchId=b50be390-a2a0-409e-bf3f-f302cc64aa6a
